id,genre
1,Action
1,Adventure
1,Fantasy
1,Sci-Fi
2,Action
2,Adventure
2,Fantasy
3,Action
3,Adventure
3,Thriller
4,Action
4,Thriller
5,Documentary
6,Action
6,Adventure
6,Sci-Fi
7,Action
7,Adventure
7,Romance
8,Adventure
8,Animation
8,Comedy
8,Family
8,Fantasy
8,Musical
8,Romance
9,Action
9,Adventure
9,Sci-Fi
10,Adventure
10,Family
10,Fantasy
10,Mystery
11,Action
11,Adventure
11,Sci-Fi
12,Action
12,Adventure
12,Sci-Fi
13,Action
13,Adventure
14,Action
14,Adventure
14,Fantasy
15,Action
15,Adventure
15,Western
16,Action
16,Adventure
16,Fantasy
16,Sci-Fi
17,Action
17,Adventure
17,Family
17,Fantasy
18,Action
18,Adventure
18,Sci-Fi
19,Action
19,Adventure
19,Fantasy
20,Action
20,Adventure
20,Comedy
20,Family
20,Fantasy
20,Sci-Fi
21,Adventure
21,Fantasy
22,Action
22,Adventure
22,Fantasy
23,Action
23,Adventure
23,Drama
23,History
24,Adventure
24,Fantasy
25,Adventure
25,Family
25,Fantasy
26,Action
26,Adventure
26,Drama
26,Romance
27,Drama
27,Romance
28,Action
28,Adventure
28,Sci-Fi
29,Action
29,Adventure
29,Sci-Fi
29,Thriller
30,Action
30,Adventure
30,Sci-Fi
30,Thriller
31,Action
31,Adventure
31,Thriller
32,Action
32,Adventure
32,Fantasy
32,Romance
33,Action
33,Adventure
33,Sci-Fi
34,Adventure
34,Family
34,Fantasy
35,Action
35,Adventure
35,Fantasy
35,Sci-Fi
35,Thriller
36,Adventure
36,Animation
36,Comedy
36,Family
36,Fantasy
37,Action
37,Adventure
37,Sci-Fi
38,Action
38,Adventure
38,Sci-Fi
39,Adventure
39,Family
39,Fantasy
40,Action
40,Adventure
40,Fantasy
40,Sci-Fi
41,Action
41,Adventure
41,Sci-Fi
42,Adventure
42,Animation
42,Comedy
42,Family
42,Sport
43,Action
43,Adventure
43,Sci-Fi
44,Adventure
44,Animation
44,Comedy
44,Family
44,Fantasy
45,Action
45,Adventure
45,Sci-Fi
46,Action
46,Crime
46,Thriller
47,Action
47,Adventure
47,Horror
47,Sci-Fi
47,Thriller
48,Action
48,Adventure
48,Fantasy
48,Sci-Fi
48,Thriller
49,Action
49,Adventure
49,Sci-Fi
50,Adventure
50,Fantasy
51,Drama
51,Romance
52,Action
52,Adventure
52,Fantasy
52,Romance
53,Action
53,Adventure
53,Sci-Fi
54,Action
54,Adventure
54,Sci-Fi
55,Action
55,Adventure
55,Fantasy
56,Adventure
56,Animation
56,Comedy
56,Family
56,Fantasy
57,Adventure
57,Animation
57,Comedy
57,Family
57,Fantasy
58,Action
58,Adventure
58,Sci-Fi
58,Thriller
59,Adventure
59,Animation
59,Family
59,Sci-Fi
60,Action
60,Comedy
60,Crime
60,Thriller
61,Action
61,Adventure
61,Sci-Fi
62,Animation
62,Drama
62,Family
62,Fantasy
63,Action
63,Adventure
63,Sci-Fi
64,Action
64,Adventure
64,Drama
64,Romance
65,150
66,Action
66,Adventure
66,Sci-Fi
67,Action
67,Crime
67,Drama
67,Thriller
68,Adventure
68,Animation
68,Comedy
68,Family
69,Action
69,Adventure
69,Animation
69,Comedy
69,Family
69,Sci-Fi
70,Action
70,Adventure
70,Sci-Fi
71,Adventure
71,Drama
71,Family
71,Mystery
72,Action
72,Comedy
72,Sci-Fi
72,Western
73,Action
73,Adventure
73,Fantasy
73,Horror
73,Thriller
74,Action
74,Adventure
74,Comedy
74,Sci-Fi
75,Comedy
75,Family
75,Fantasy
76,Action
76,Adventure
76,Sci-Fi
77,Action
77,Adventure
77,Sci-Fi
77,Thriller
78,Action
78,Adventure
78,Sci-Fi
78,Thriller
79,Adventure
79,Animation
79,Comedy
79,Drama
79,Family
79,Fantasy
80,Adventure
80,Drama
80,Family
80,Fantasy
81,Action
81,Adventure
81,Sci-Fi
82,Action
82,Adventure
82,Drama
82,Fantasy
83,Action
83,Adventure
83,Family
83,Fantasy
83,Romance
84,Action
84,Adventure
84,Drama
84,Sci-Fi
85,Action
85,Adventure
85,Romance
85,Sci-Fi
86,Action
86,Adventure
86,Drama
86,Fantasy
87,Action
87,Adventure
87,Sci-Fi
88,Adventure
88,Animation
88,Comedy
88,Family
88,Fantasy
89,Action
89,Adventure
89,Family
89,Mystery
89,Sci-Fi
90,Action
90,Adventure
90,Animation
90,Comedy
90,Drama
90,Family
90,Sci-Fi
91,Adventure
91,Animation
91,Comedy
91,Family
91,Sci-Fi
92,Adventure
92,Animation
92,Family
92,Fantasy
93,Action
93,Adventure
93,Sci-Fi
94,Adventure
94,Animation
94,Family
94,Fantasy
95,Action
95,Sci-Fi
96,Action
96,Adventure
96,Sci-Fi
97,Adventure
97,Drama
97,Sci-Fi
98,Action
98,Adventure
98,Sci-Fi
98,Thriller
99,Action
99,Adventure
99,Drama
99,Horror
99,Sci-Fi
100,Adventure
100,Fantasy
101,Action
101,Crime
101,Thriller
102,Drama
102,Fantasy
102,Romance
103,Action
103,Adventure
103,Sci-Fi
104,Adventure
104,Sci-Fi
105,Action
105,Adventure
105,Family
105,Fantasy
106,Action
106,Adventure
106,Drama
106,Thriller
107,Adventure
107,Family
107,Fantasy
108,Adventure
108,Animation
108,Comedy
108,Family
108,Fantasy
109,Action
109,Adventure
109,Fantasy
110,Action
110,Adventure
110,Sci-Fi
111,Adventure
111,Family
111,Fantasy
112,Action
112,Drama
112,History
112,Romance
112,War
113,Action
113,Adventure
113,Sci-Fi
114,Action
114,Adventure
114,Biography
114,Drama
114,History
114,Romance
114,War
115,Adventure
115,Family
115,Fantasy
115,Mystery
116,Adventure
116,Family
116,Fantasy
116,Mystery
117,Action
117,Drama
118,Drama
118,Horror
118,Sci-Fi
119,Adventure
119,Comedy
119,Family
119,Fantasy
120,Animation
120,Comedy
120,Family
120,Fantasy
121,Action
121,Adventure
122,Action
122,Adventure
122,Animation
122,Comedy
122,Family
123,Adventure
123,Comedy
123,Family
123,Fantasy
124,Action
124,Adventure
124,Fantasy
124,Sci-Fi
124,Thriller
125,Action
125,Sci-Fi
126,Adventure
126,Animation
126,Comedy
126,Family
126,Fantasy
126,Musical
127,Action
127,Sci-Fi
128,Action
128,Adventure
128,Fantasy
129,Action
129,Adventure
129,Sci-Fi
129,Thriller
130,Mystery
130,Thriller
131,Action
131,Adventure
131,Fantasy
132,Adventure
132,Animation
132,Comedy
132,Drama
132,Family
133,Action
133,Adventure
133,Animation
133,Comedy
133,Family
133,Fantasy
133,Sci-Fi
134,Action
134,Adventure
134,Fantasy
135,Comedy
135,Fantasy
135,Horror
136,Action
136,Adventure
136,Thriller
137,Drama
137,Fantasy
137,Horror
137,Thriller
139,Adventure
139,Animation
139,Comedy
139,Family
140,Action
140,Adventure
140,Animation
140,Comedy
140,Family
141,Action
141,Adventure
141,Family
141,Fantasy
142,Action
142,Adventure
142,Thriller
143,Action
143,Drama
143,Thriller
144,Action
144,Adventure
144,Animation
144,Comedy
144,Family
144,Sci-Fi
145,Adventure
145,Animation
145,Comedy
145,Family
146,Adventure
146,Family
146,Fantasy
147,Adventure
147,Animation
147,Comedy
147,Family
147,Sci-Fi
148,Adventure
149,Adventure
149,Animation
149,Comedy
149,Family
150,Action
150,Adventure
150,Thriller
151,Action
151,Comedy
151,Fantasy
151,Sci-Fi
152,Action
152,Adventure
152,Sci-Fi
152,Thriller
153,Action
153,Adventure
153,Comedy
153,Family
153,Fantasy
153,Mystery
153,Sci-Fi
154,Action
154,Adventure
154,Animation
154,Fantasy
155,Action
155,Adventure
155,Animation
155,Comedy
155,Family
156,Action
156,Adventure
156,Thriller
157,Adventure
157,Animation
157,Family
157,Fantasy
158,Comedy
158,Crime
159,Action
159,Drama
159,History
159,War
160,Action
160,Adventure
160,Drama
161,Action
